partyId;partyName
1;ПП ИМА ТАКЪВ НАРОД
2;ПРЯКА ДЕМОКРАЦИЯ
3;СИНЯ БЪЛГАРИЯ
4;ПП МЕЧ
5;БСП – ОБЕДИНЕНА ЛЕВИЦА
6;ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА
7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ
8;ВЪЗРАЖДАНЕ
9;МОЯ БЪЛГАРИЯ
10;Движение на непартийните кандидати
11;АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС
12;АНТИКОРУПЦИОНЕН БЛОК
13;НД НЕПОКОРНА БЪЛГАРИЯ
14;ПП ВЕЛИЧИЕ
15;ГЕРБ-СДС
16;КП ТРЕТИ МАРТ
17;Движение за права и свободи - ДПС
18;ПП НАЦИЯ
19;БЪЛГАРИЯ МОЖЕ
20;СИЯНИЕ
21;ПРОГРЕСИВНА БЪЛГАРИЯ
22;Съпротива
23;Партия на ЗЕЛЕНИТЕ
24;ПП ГЛАС НАРОДЕН
